university, date_time, type
New York University, 2022-04-26 11:36, Event
Wake Forest Summer Immersion Program, 2022-04-25 8:30am, Event
Hofstra University, 2022-04-25 8:55am, Marketing
Case Western Reserve University, 2022-04-25 12:46pm, Event/Marketing
Pace University, 2022-04-25 11:42am, Marketing 
University College London, 2022-04-25 9:37am, Marketing
University of Southern California, 2022-04-25 11:32am, Solicited
Washington University in Saint Louis, 2022-04-25 2:03 pm, Marketing
UPenn; Stanford; Duke; Georgetown; Harvard, 2022-04-25 2:19 pm, Event
Stanford, 2022-04-25 9:04 pm, Event
University of Connecticut, 2022-04-25 9:54 AM, Marketing
George Fox University, 2022-04-25 11:39 AM, Marketing
University of St. Thomas, 2022-04-26 1:24 PM, Marketing
University of Chicago, 2022-04-26 2:26 PM, Event
Colby College, 2022-04-26 2:50 PM, Marketing
University of the Arts, 2022-04-26 3:40 PM, Marketing
University of Chicago, 2022-04-26 6:21 PM, Marketing
Brandeis University, 2022-04-26 9:04 am, Marketing
Seton Hall University, 2022-04-26 10:56 am, Marketing
Emory University; Johns Hopkins University; University of Notre Dame; Washington University in Saint Louis, 2022-04-26 10:57 am, Solicited
University of Southern California, 2022-04-26 11:07 am, Solicited
Florida Tech, 2022-04-26 11:31 am, Marketing
Duke; Georgetown; Harvard; UPenn; Stanford, 2022-04-26 11:36 am, Solicited
Saint Mary's College of California, 2022-04-26 12:10 pm, Marketing
Johns Hopkins University, 2022-04-26 1:12 pm, Marketing
Wheaton College Massachusetts, 2022-04-26 2:02pm, Marketing
Saint Mary's College, 2022-04-26 3:17 pm, Marketing
University of Miami, 2022-04-26 4:08 pm, Event
Colby College, 2022-04-26 4:49 pm, Marketing
University of Chicago, 2022-04-26 4:49 pm, Event
University of Chicago, 2022-04-26 8:21 pm, Marketing
Hofstra University, 2022-04-26 3:43pm, Event
University of Chicago, 2022-04-26 3:49pm, Event
University of Chicago, 2022-04-26 7:22pm, Marketing
UChicago, 2022-04-26 6:21pm, Marketing 
Notre Dame, 2022-04-26 4:21am, Event 
Wake Forest University, 2022-04-27 2:25 pm, Marketing
Rice University, 2022-04-27 8:04 am, Solicited
Washington University in Saint Louis, 2022-04-27 8:32 am, Marketing
Emory University; University of Notre Dame; Johns Hopkins University; University of Notre Dome; Washington University in Saint Louis, 2022-04-27 9:09 am, Solicited
University of Southern California, 2022-04-27 10:09 am, Solicited
Emory; Rice; University of Michigan; University of Washington, 2022-04-27 11:03 am, Event
Appalachian State University, 2022-04-27 1:32 pm, Marketing
Colorado College, 2022-04-27 8:10pm, Marketing
Syracuse University, 2022-04-27 11:34 AM, Marketing 
Bryn Mawr College, 2022-04-28 11:46 AM, Marketing
George Fox University, 2022-04-28 4:02 PM, Marketing
University of Chicago, 2022-04-28 4:10 PM, Event
Uchicago, 2022-04-28 4:30pm, event 
Bennington college, 2022-04-28 2:08 pm, marketing
NYU, 2022-04-30 4:00 PM, Event 
Northeastern university, 2022-04-30 3:00 PM, Marketing 
West Point Admission, 2022-04-28 1:20pm, Marketing
Xavier University, 2022-04-28 1:54pm, Marketing
Samford University, 2022-04-28 5:22pm, Marketing
University of Chicago, 2022-04-28 5:26pm, Event
NC State, 2022-04-29 8:26am, Marketing
University of Iowa, 2022-04-29 4:53pm, Marketing
Cornell College, 2022-04-30 7:08am, Marketing
Miami University, 2022-04-30 8:06am, Marketing
Northwestern, 2022-05-03 7:45AM, Event
Central Washington University, 2022-04-29 11:07 AM, marketing
New Jersey Institute of Technology, 2022-04-29 11:53 AM, marketing
Claremont McKenna College, 2022-04-29 3:07 PM, marketing
University of Illinois, 2022-04-25 8:13pm, Event
Duke University; Georgetown University; Harvard University; Penn State; Stanford University, 2022-04-25 2:16pm, Event
University of Michigan, 2022-04-27 7:41pm, Event
University of Illinois, 2022-04-28 8:32am, Solicited
University of Illinois, 2022-04-28 8:32am, Solicited
University of Illinois, 2022-04-28 9:55am, Solicited
University of Illinois, 2022-04-29 7:05pm, Solicited
Duke University, 2022-04-30 7:08am, Marketing
